"","Value of Statistical Life ($, Trillions)","Value of Statistical Life Years ($, Trillions)","Productivity Losses Averted ($, Trillions)","Cost of Hospitalizations Averted ($, Billions)","scenario"
"History Based & 100-Days Mission.Worldwide","$26.31  [22.79 - 30.18]","$16.83  [14.20 - 20.18]","$1.60  [1.30 - 2.03]","$9.67  [7.90 - 11.64]","History Based & 100-Days Mission"
"History Based & 100-Days Mission.High-Income","$15.12  [12.72 - 17.68]","$9.39  [7.75 - 11.99]","$0.59  [0.45 - 0.94]","$6.86  [5.19 - 8.31]","History Based & 100-Days Mission"
"History Based & 100-Days Mission.Upper-middle-Income","$5.81  [5.22 - 7.60]","$3.83  [3.31 - 5.27]","$0.44  [0.36 - 0.62]","$1.80  [1.37 - 2.31]","History Based & 100-Days Mission"
"History Based & 100-Days Mission.Lower-middle-Income","$5.52  [3.67 - 5.83]","$3.47  [2.43 - 3.94]","$0.52  [0.39 - 0.64]","$1.05  [0.79 - 1.41]","History Based & 100-Days Mission"
"History Based & 100-Days Mission.Low-Income","$0.019  [0.017 - 0.021]","$0.011  [0.010 - 0.012]","$0.0056  [0.0049 - 0.0067]","$0.014  [0.011 - 0.018]","History Based & 100-Days Mission"
"Target Based & 100-Days Mission.Worldwide","$17.68  [12.91 - 22.99]","$10.98  [7.71 - 15.53]","$1.00  [0.65 - 1.50]","$7.13  [5.72 - 9.05]","Target Based & 100-Days Mission"
"Target Based & 100-Days Mission.High-Income","$11.51  [7.96 - 15.45]","$6.99  [4.57 - 10.66]","$0.44  [0.26 - 0.84]","$5.38  [4.13 - 6.79]","Target Based & 100-Days Mission"
"Target Based & 100-Days Mission.Upper-middle-Income","$2.91  [1.39 - 4.35]","$1.81  [0.83 - 3.00]","$0.20  [0.09 - 0.34]","$1.01  [0.50 - 1.56]","Target Based & 100-Days Mission"
"Target Based & 100-Days Mission.Lower-middle-Income","$3.13  [2.11 - 4.40]","$1.98  [1.36 - 2.98]","$0.30  [0.20 - 0.48]","$0.64  [0.48 - 0.99]","Target Based & 100-Days Mission"
"Target Based & 100-Days Mission.Low-Income","$0.001  [-0.008 - 0.007]","-$0.001  [-0.007 - 0.003]","-$0.0012  [-0.0048 - 0.0008]","$0.001  [-0.007 - 0.005]","Target Based & 100-Days Mission"
"Economic Based & 100-Days Mission.Worldwide","$18.90  [15.76 - 21.87]","$12.17  [9.72 - 14.77]","$1.25  [0.95 - 1.56]","$6.67  [5.50 - 8.42]","Economic Based & 100-Days Mission"
"Economic Based & 100-Days Mission.High-Income","$9.41  [7.19 - 12.26]","$6.03  [4.32 - 8.06]","$0.40  [0.26 - 0.62]","$4.37  [3.06 - 5.72]","Economic Based & 100-Days Mission"
"Economic Based & 100-Days Mission.Upper-middle-Income","$4.89  [3.51 - 5.89]","$3.20  [2.30 - 4.12]","$0.36  [0.27 - 0.49]","$1.37  [1.04 - 1.84]","Economic Based & 100-Days Mission"
"Economic Based & 100-Days Mission.Lower-middle-Income","$4.68  [3.20 - 5.30]","$3.06  [2.10 - 3.62]","$0.47  [0.33 - 0.59]","$0.87  [0.67 - 1.13]","Economic Based & 100-Days Mission"
"Economic Based & 100-Days Mission.Low-Income","$0.013  [0.006 - 0.017]","$0.007  [0.003 - 0.010]","$0.0035  [0.0010 - 0.0049]","$0.009  [0.004 - 0.013]","Economic Based & 100-Days Mission"
"History Based & 100-Days Mission & Manufacturing.Worldwide","$31.03  [26.49 - 33.78]","$19.48  [16.48 - 22.35]","$1.83  [1.46 - 2.24]","$12.05  [9.22 - 15.50]","History Based & 100-Days Mission & Manufacturing"
"History Based & 100-Days Mission & Manufacturing.High-Income","$18.39  [15.48 - 19.00]","$11.40  [9.27 - 12.88]","$0.76  [0.54 - 1.00]","$8.49  [5.69 - 11.16]","History Based & 100-Days Mission & Manufacturing"
"History Based & 100-Days Mission & Manufacturing.Upper-middle-Income","$6.62  [5.07 - 8.94]","$4.27  [3.15 - 6.22]","$0.48  [0.35 - 0.71]","$2.20  [1.65 - 2.76]","History Based & 100-Days Mission & Manufacturing"
"History Based & 100-Days Mission & Manufacturing.Lower-middle-Income","$6.51  [3.80 - 6.67]","$4.13  [2.53 - 4.41]","$0.62  [0.40 - 0.70]","$1.27  [0.96 - 1.93]","History Based & 100-Days Mission & Manufacturing"
"History Based & 100-Days Mission & Manufacturing.Low-Income","$0.033  [0.029 - 0.036]","$0.019  [0.017 - 0.022]","$0.0100  [0.0088 - 0.0120]","$0.027  [0.020 - 0.034]","History Based & 100-Days Mission & Manufacturing"
"Target Based & 100-Days Mission & Manufacturing.Worldwide","$24.98  [21.12 - 28.50]","$15.54  [12.77 - 18.59]","$1.41  [1.09 - 1.81]","$10.13  [7.49 - 13.42]","Target Based & 100-Days Mission & Manufacturing"
"Target Based & 100-Days Mission & Manufacturing.High-Income","$16.09  [14.13 - 17.31]","$10.05  [8.41 - 11.84]","$0.65  [0.48 - 0.93]","$7.44  [4.88 - 10.18]","Target Based & 100-Days Mission & Manufacturing"
"Target Based & 100-Days Mission & Manufacturing.Upper-middle-Income","$4.41  [2.78 - 6.65]","$2.83  [1.71 - 4.56]","$0.32  [0.19 - 0.53]","$1.48  [0.95 - 2.04]","Target Based & 100-Days Mission & Manufacturing"
"Target Based & 100-Days Mission & Manufacturing.Lower-middle-Income","$5.13  [2.05 - 5.78]","$3.14  [1.41 - 3.81]","$0.46  [0.24 - 0.60]","$0.97  [0.68 - 1.51]","Target Based & 100-Days Mission & Manufacturing"
"Target Based & 100-Days Mission & Manufacturing.Low-Income","$0.017  [0.009 - 0.023]","$0.009  [0.003 - 0.013]","$0.0038  [0.0001 - 0.0067]","$0.015  [0.007 - 0.022]","Target Based & 100-Days Mission & Manufacturing"
"Economic Based & 100-Days Mission & Manufacturing.Worldwide","$26.91  [24.17 - 29.73]","$17.06  [14.93 - 19.72]","$1.61  [1.33 - 1.96]","$10.57  [7.79 - 13.89]","Economic Based & 100-Days Mission & Manufacturing"
"Economic Based & 100-Days Mission & Manufacturing.High-Income","$16.14  [14.10 - 17.46]","$9.97  [8.40 - 11.90]","$0.65  [0.50 - 0.93]","$7.43  [4.86 - 10.16]","Economic Based & 100-Days Mission & Manufacturing"
"Economic Based & 100-Days Mission & Manufacturing.Upper-middle-Income","$5.72  [4.27 - 7.06]","$3.74  [2.80 - 4.85]","$0.42  [0.32 - 0.57]","$1.73  [1.36 - 2.34]","Economic Based & 100-Days Mission & Manufacturing"
"Economic Based & 100-Days Mission & Manufacturing.Lower-middle-Income","$5.85  [3.94 - 6.14]","$3.69  [2.57 - 4.13]","$0.52  [0.40 - 0.66]","$1.11  [0.81 - 1.60]","Economic Based & 100-Days Mission & Manufacturing"
"Economic Based & 100-Days Mission & Manufacturing.Low-Income","$0.022  [0.014 - 0.026]","$0.012  [0.007 - 0.015]","$0.0058  [0.0029 - 0.0077]","$0.017  [0.010 - 0.022]","Economic Based & 100-Days Mission & Manufacturing"
"History Based & 100-Days Mission & Infrastructure.Worldwide","$30.88  [26.31 - 33.59]","$19.80  [16.39 - 22.89]","$1.87  [1.49 - 2.29]","$11.99  [9.02 - 14.67]","History Based & 100-Days Mission & Infrastructure"
"History Based & 100-Days Mission & Infrastructure.High-Income","$17.99  [14.64 - 18.80]","$11.46  [8.52 - 12.74]","$0.77  [0.49 - 1.00]","$8.29  [5.59 - 10.23]","History Based & 100-Days Mission & Infrastructure"
"History Based & 100-Days Mission & Infrastructure.Upper-middle-Income","$7.12  [6.46 - 9.30]","$4.65  [4.06 - 6.47]","$0.52  [0.44 - 0.76]","$2.33  [1.79 - 3.01]","History Based & 100-Days Mission & Infrastructure"
"History Based & 100-Days Mission & Infrastructure.Lower-middle-Income","$6.09  [3.90 - 6.29]","$3.92  [2.57 - 4.22]","$0.59  [0.40 - 0.68]","$1.19  [0.89 - 1.74]","History Based & 100-Days Mission & Infrastructure"
"History Based & 100-Days Mission & Infrastructure.Low-Income","$0.034  [0.031 - 0.037]","$0.020  [0.018 - 0.023]","$0.0111  [0.0101 - 0.0128]","$0.029  [0.021 - 0.036]","History Based & 100-Days Mission & Infrastructure"
"Target Based & 100-Days Mission & Infrastructure.Worldwide","$23.74  [21.00 - 27.50]","$15.46  [12.86 - 18.71]","$1.46  [1.12 - 1.90]","$9.58  [7.23 - 12.09]","Target Based & 100-Days Mission & Infrastructure"
"Target Based & 100-Days Mission & Infrastructure.High-Income","$14.87  [12.62 - 16.25]","$9.13  [7.43 - 11.26]","$0.61  [0.44 - 0.90]","$6.93  [4.56 - 8.78]","Target Based & 100-Days Mission & Infrastructure"
"Target Based & 100-Days Mission & Infrastructure.Upper-middle-Income","$4.67  [3.34 - 6.86]","$3.00  [2.09 - 4.85]","$0.33  [0.24 - 0.57]","$1.56  [1.18 - 2.21]","Target Based & 100-Days Mission & Infrastructure"
"Target Based & 100-Days Mission & Infrastructure.Lower-middle-Income","$4.76  [3.20 - 5.44]","$3.01  [2.09 - 3.68]","$0.46  [0.33 - 0.59]","$0.95  [0.73 - 1.31]","Target Based & 100-Days Mission & Infrastructure"
"Target Based & 100-Days Mission & Infrastructure.Low-Income","$0.021  [0.013 - 0.025]","$0.012  [0.006 - 0.014]","$0.0060  [0.0030 - 0.0079]","$0.018  [0.011 - 0.024]","Target Based & 100-Days Mission & Infrastructure"
"Economic Based & 100-Days Mission & Infrastructure.Worldwide","$26.22  [23.35 - 29.13]","$16.91  [14.47 - 19.84]","$1.64  [1.34 - 2.07]","$10.02  [7.72 - 12.76]","Economic Based & 100-Days Mission & Infrastructure"
"Economic Based & 100-Days Mission & Infrastructure.High-Income","$15.27  [12.95 - 16.70]","$9.50  [7.60 - 11.52]","$0.63  [0.45 - 0.91]","$7.06  [4.63 - 8.93]","Economic Based & 100-Days Mission & Infrastructure"
"Economic Based & 100-Days Mission & Infrastructure.Upper-middle-Income","$6.30  [5.01 - 7.67]","$4.08  [3.29 - 5.38]","$0.47  [0.38 - 0.64]","$1.86  [1.55 - 2.54]","Economic Based & 100-Days Mission & Infrastructure"
"Economic Based & 100-Days Mission & Infrastructure.Lower-middle-Income","$5.50  [3.71 - 5.89]","$3.51  [2.40 - 3.98]","$0.53  [0.36 - 0.64]","$1.08  [0.79 - 1.41]","Economic Based & 100-Days Mission & Infrastructure"
"Economic Based & 100-Days Mission & Infrastructure.Low-Income","$0.027  [0.020 - 0.030]","$0.016  [0.012 - 0.018]","$0.0086  [0.0064 - 0.0101]","$0.021  [0.014 - 0.027]","Economic Based & 100-Days Mission & Infrastructure"
"History Based & 100-Days Mission Total (Manu. & Infr.).Worldwide","$33.33  [29.70 - 35.69]","$21.18  [18.47 - 23.83]","$2.00  [1.67 - 2.40]","$13.04  [9.82 - 16.92]","History Based & 100-Days Mission Total (Manu. & Infr.)"
"History Based & 100-Days Mission Total (Manu. & Infr.).High-Income","$19.11  [17.61 - 19.66]","$12.05  [10.35 - 13.40]","$0.80  [0.61 - 1.04]","$9.23  [5.91 - 12.16]","History Based & 100-Days Mission Total (Manu. & Infr.)"
