"scenario","Rt","Vaccine","date","hospitalisations_med","hospitalisations_baseline_med","hospitalisations_averted_med","hospitalisations_025","hospitalisations_baseline_025","hospitalisations_averted_025","hospitalisations_25","hospitalisations_baseline_25","hospitalisations_averted_25","hospitalisations_75","hospitalisations_baseline_75","hospitalisations_averted_75","hospitalisations_975","hospitalisations_baseline_975","hospitalisations_averted_975"
1,"History Based","100-Day Mission",2019-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"History Based","100-Day Mission",2019-12-01,1.43566486259224,1.43566486259224,0,1.14623216430337,1.14623216430337,0,1.3602046095608,1.3602046095608,0,1.54779664157619,1.54779664157619,0,1.7564863636567,1.7564863636567,0
1,"History Based","100-Day Mission",2019-12-02,4.22479982970598,4.22479982970598,0,3.36848383238975,3.36848383238975,0,3.99990493936311,3.99990493936311,0,4.54862109723111,4.54862109723111,0,5.16145973267341,5.16145973267341,0
1,"History Based","100-Day Mission",2019-12-03,7.83466498924105,7.83466498924105,0,6.23972355403034,6.23972355403034,0,7.42899070928157,7.42899070928157,0,8.4259721690824,8.4259721690824,0,9.55935810146663,9.55935810146663,0
1,"History Based","100-Day Mission",2019-12-04,11.7396620078827,11.7396620078827,0,9.34366892717023,9.34366892717023,0,11.1203565575937,11.1203565575937,0,12.6106031987576,12.6106031987576,0,14.3102153650714,14.3102153650714,0
1,"History Based","100-Day Mission",2019-12-05,15.7335674825647,15.7335674825647,0,12.5392798008588,12.5392798008588,0,14.945517010028,14.945517010028,0,16.8884198769553,16.8884198769553,0,19.2230802001559,19.2230802001559,0
1,"History Based","100-Day Mission",2019-12-06,19.9344868510689,19.9344868510689,0,15.8845821823077,15.8845821823077,0,19.0016001819731,19.0016001819731,0,21.3311720142658,21.3311720142658,0,24.4061768889917,24.4061768889917,0
1,"History Based","100-Day Mission",2019-12-07,24.7203449788728,24.7203449788728,0,19.5693849927068,19.5693849927068,0,23.3034033462888,23.3034033462888,0,26.2501693600846,26.2501693600846,0,30.0356008228394,30.0356008228394,0
1,"History Based","100-Day Mission",2019-12-08,30.1258595000138,30.1258595000138,0,23.8918807747723,23.8918807747723,0,28.2256684155135,28.2256684155135,0,31.8744522315695,31.8744522315695,0,36.3425837425979,36.3425837425979,0
1,"History Based","100-Day Mission",2019-12-09,36.427567319053,36.427567319053,0,29.1242138672218,29.1242138672218,0,34.0904761950693,34.0904761950693,0,38.5784856112544,38.5784856112544,0,43.9567977048891,43.9567977048891,0
1,"History Based","100-Day Mission",2019-12-10,43.8118857869016,43.8118857869016,0,35.4978480102383,35.4978480102383,0,41.1952236224287,41.1952236224287,0,46.5305503497513,46.5305503497513,0,53.1922785784981,53.1922785784981,0
1,"History Based","100-Day Mission",2019-12-11,52.9957932704016,52.9957932704016,0,43.3435230312618,43.3435230312618,0,49.8902913454286,49.8902913454286,0,56.170048204262,56.170048204262,0,64.4905849696496,64.4905849696496,0
1,"History Based","100-Day Mission",2019-12-12,64.1264584034884,64.1264584034884,0,52.9717788104444,52.9717788104444,0,60.3048880148181,60.3048880148181,0,68.1534349942627,68.1534349942627,0,78.6090680483589,78.6090680483589,0
1,"History Based","100-Day Mission",2019-12-13,78.4474145508024,78.4474145508024,0,64.3662706963296,64.3662706963296,0,73.1981225299907,73.1981225299907,0,83.0581435870078,83.0581435870078,0,96.0997911240055,96.0997911240055,0
1,"History Based","100-Day Mission",2019-12-14,95.7405898732492,95.7405898732492,0,77.6710790383793,77.6710790383793,0,89.383943093616,89.383943093616,0,102.282011718212,102.282011718212,0,117.269681572637,117.269681572637,0
1,"History Based","100-Day Mission",2019-12-15,117.859650681794,117.859650681794,0,94.9438554362169,94.9438554362169,0,109.107695407102,109.107695407102,0,125.554674005338,125.554674005338,0,143.766076915483,143.766076915483,0
1,"History Based","100-Day Mission",2019-12-16,145.104158754111,145.104158754111,0,115.339254982628,115.339254982628,0,134.120832467158,134.120832467158,0,155.709331970602,155.709331970602,0,177.712315884245,177.712315884245,0
1,"History Based","100-Day Mission",2019-12-17,179.800392671401,179.800392671401,0,141.6942077452,141.6942077452,0,165.721104710637,165.721104710637,0,195.069187434047,195.069187434047,0,221.216229120112,221.216229120112,0
1,"History Based","100-Day Mission",2019-12-18,224.509777394743,224.509777394743,0,174.722474075179,174.722474075179,0,206.423268655098,206.423268655098,0,244.147600228265,244.147600228265,0,279.686323790123,279.686323790123,0
1,"History Based","100-Day Mission",2019-12-19,281.481732898377,281.481732898377,0,215.976624792831,215.976624792831,0,256.434042641122,256.434042641122,0,304.21590940419,304.21590940419,0,355.458785257126,355.458785257126,0
1,"History Based","100-Day Mission",2019-12-20,353.198447986484,353.198447986484,0,268.213753525062,268.213753525062,0,320.317302159747,320.317302159747,0,382.107064811538,382.107064811538,0,453.632244165645,453.632244165645,0
1,"History Based","100-Day Mission",2019-12-21,439.672817557013,439.672817557013,0,333.639799453116,333.639799453116,0,397.073908405063,397.073908405063,0,482.452662890606,482.452662890606,0,574.67540732213,574.67540732213,0
1,"History Based","100-Day Mission",2019-12-22,533.889484795983,533.889484795983,0,406.109354879988,406.109354879988,0,481.676988039266,481.676988039266,0,591.625239006037,591.625239006037,0,709.057933484444,709.057933484444,0
1,"History Based","100-Day Mission",2019-12-23,632.629108065081,632.629108065081,0,479.726092301589,479.726092301589,0,570.560334558862,570.560334558862,0,706.125132425246,706.125132425246,0,848.065732215405,848.065732215405,0
1,"History Based","100-Day Mission",2019-12-24,731.760202213219,731.760202213219,0,553.017676830939,553.017676830939,0,657.050271633436,657.050271633436,0,820.77175514523,820.77175514523,0,989.07928860002,989.07928860002,0
1,"History Based","100-Day Mission",2019-12-25,831.713887078992,831.713887078992,0,627.528661692174,627.528661692174,0,749.903557169784,749.903557169784,0,936.709573902775,936.709573902775,0,1134.01174571831,1134.01174571831,0
1,"History Based","100-Day Mission",2019-12-26,937.018662850309,937.018662850309,0,704.955468339549,704.955468339549,0,847.980853975672,847.980853975672,0,1053.56878913889,1053.56878913889,0,1287.24709054737,1287.24709054737,0
1,"History Based","100-Day Mission",2019-12-27,1046.00715898992,1046.00715898992,0,784.849041045601,784.849041045601,0,953.941737558821,953.941737558821,0,1187.17646796351,1187.17646796351,0,1450.48177790713,1450.48177790713,0
1,"History Based","100-Day Mission",2019-12-28,1173.0202862747,1173.0202862747,0,871.991553882301,871.991553882301,0,1066.2729670476,1066.2729670476,0,1338.33912540582,1338.33912540582,0,1625.83614013337,1625.83614013337,0
1,"History Based","100-Day Mission",2019-12-29,1318.5899941698,1318.5899941698,0,969.776417722054,969.776417722054,0,1198.39767601611,1198.39767601611,0,1499.5060941143,1499.5060941143,0,1821.55925330892,1821.55925330892,0
1,"History Based","100-Day Mission",2019-12-30,1472.77007699609,1472.77007699609,0,1079.71760293323,1079.71760293323,0,1336.2257750386,1336.2257750386,0,1688.49441528102,1688.49441528102,0,2041.33242958414,2041.33242958414,0
1,"History Based","100-Day Mission",2019-12-31,1657.17492244636,1657.17492244636,0,1203.7451934573,1203.7451934573,0,1485.20928489137,1485.20928489137,0,1900.05420844141,1900.05420844141,0,2304.89795830175,2304.89795830175,0
1,"History Based","100-Day Mission",2020-01-01,1869.20630319742,1869.20630319742,0,1343.6771186051,1343.6771186051,0,1655.13930160679,1655.13930160679,0,2152.91394447598,2152.91394447598,0,2599.10196724511,2599.10196724511,0
1,"History Based","100-Day Mission",2020-01-02,2115.21001617768,2115.21001617768,0,1501.88126906957,1501.88126906957,0,1848.04687759244,1848.04687759244,0,2424.19765276889,2424.19765276889,0,2915.91859089449,2915.91859089449,0
1,"History Based","100-Day Mission",2020-01-03,2398.31745468131,2398.31745468131,0,1676.84518592061,1676.84518592061,0,2062.42835127672,2062.42835127672,0,2745.91454080382,2745.91454080382,0,3272.72197941464,3272.72197941464,0
1,"History Based","100-Day Mission",2020-01-04,2698.39122240795,2698.39122240795,0,1857.0352904608,1857.0352904608,0,2299.6558683711,2299.6558683711,0,3113.55095784862,3113.55095784862,0,3657.06900150622,3657.06900150622,0
1,"History Based","100-Day Mission",2020-01-05,2978.81068532083,2978.81068532083,0,2040.71860704834,2040.71860704834,0,2522.23088603214,2522.23088603214,0,3473.98542352059,3473.98542352059,0,4042.44027761219,4042.44027761219,0
